Review_ID,Review_Text,Rating,Review_Length,Sentiment_Score,Reviewer_Age,Product_Category,Gender,Review_Helpful_Count,Sentiment_Label
5daa3097-ecb4-4c8e-ba8b-c85d3281f3cd,Debate later wish how watch despite company vote they various guess room significant.,3.709569554430338,444,-0.45240926009926574,30.0,Electronics,Other,108.0,Neutral
364b13c1-2bd8-424e-a236-ce896a86ba06,Authority billion level office seven movement nice but television whether over.,4.329255695755105,449,0.7450517228197107,,Books,Female,54.0,Neutral
3175bc62-9d1e-4a23-9a9d-093a32edc7b1,Kitchen guess tend take live suffer play nature national one boy notice.,1.1222979756934928,234,-0.3963242831238516,27.0,Electronics,Female,210.0,Positive
d64c87fb-4299-4f7c-bf16-4802b6225b97,Season into hit set last camera ask receive once former her number thank.,4.798513476943277,148,0.15910852406844178,,Beauty,Male,,Neutral
41d8e27b-8242-4466-a058-a074073e56bf,Guess huge follow wrong national heart play start certain economic school service.,4.182152219743108,460,0.6518207280329489,52.0,Clothing,Male,251.0,Negative
dcf1d264-808f-4f49-8771-5aa803339051,Paper investment whole physical investment usually.,1.778497231055728,124,-0.3209894516484253,30.0,Beauty,Female,186.0,Positive
f1ef6281-cb91-44b1-a2c8-7ea1989a6824,Price business dark card behind beyond summer community audience agree often beat as.,,405,0.2274598200396878,,Clothing,Male,493.0,Positive
fd365985-296f-40af-bb5c-2e82d70f1893,Parent most message stuff oil them unit budget nearly.,2.9219688735126614,463,0.5611375830235177,63.0,Clothing,Other,20.0,Negative
e05cb90b-5c7b-4950-87cd-12609a45ec9a,Hot onto consider piece big cold great.,2.3455885478796348,291,-0.17789401698464613,,Electronics,Female,127.0,Positive
a9709077-85b2-4ffe-aad8-cc8b8598c38d,Style I same ability part something listen.,4.6785172900293635,436,-0.397741391309655,56.0,Electronics,Male,47.0,Neutral
5aa34645-4bde-4624-885f-74aa0a662948,Both money step final career back dark give.,3.5808289668576454,279,-0.5416103281940143,,Beauty,Male,497.0,Positive
